"","sample.no","year","date","sanctuary","status","site.new","complexity","algal.cover","size.class","count"
"104",104,2014,2014-01-26,"Armstrong Bay","Fished","Ricey Beach.Fished",1,2,"legal",0
"105",105,2014,2014-01-26,"Armstrong Bay","Fished","Ricey Beach.Fished",4,2,"legal",0
"106",106,2014,2014-01-26,"Armstrong Bay","Fished","Ricey Beach.Fished",2,2,"legal",0
"107",107,2014,2014-01-26,"Armstrong Bay","Fished","Ricey Beach.Fished",2,2,"legal",0
"108",108,2014,2014-01-26,"Armstrong Bay","Fished","Ricey Beach.Fished",1,2,"legal",0
"109",109,2014,2014-01-26,"Armstrong Bay","Fished","Ricey Beach.Fished",4,2,"legal",0
"110",110,2014,2014-01-26,"Armstrong Bay","Fished","Ricey Beach.Fished",2,3,"legal",0
"111",111,2014,2014-01-26,"Armstrong Bay","Fished","Ricey Beach.Fished",1,3,"legal",0
"112",112,2014,2014-01-26,"Armstrong Bay","Fished","Ricey Beach.Fished",4,1,"legal",0
"113",113,2014,2014-01-26,"Armstrong Bay","Fished","Ricey Beach.Fished",1,3,"legal",0
"114",114,2014,2014-01-26,"Armstrong Bay","Fished","Ricey Beach.Fished",2,2,"legal",0
"115",115,2014,2014-01-26,"Armstrong Bay","Fished","Ricey Beach.Fished",3,2,"legal",0
"116",116,2014,2014-01-26,"Armstrong Bay","Fished","Ricey Beach.Fished",2,3,"legal",0
"117",117,2014,2014-01-26,"Armstrong Bay","Fished","Ricey Beach.Fished",2,3,"legal",0
"118",118,2014,2014-01-26,"Armstrong Bay","Fished","Ricey Beach.Fished",4,1,"legal",0
"119",119,2014,2014-01-24,"Parker Point","No-take","Parker Point.No-take",2,2,"legal",2
"120",120,2014,2014-01-24,"Parker Point","No-take","Parker Point.No-take",1,3,"legal",0
"121",121,2014,2014-01-24,"Parker Point","No-take","Parker Point.No-take",3,2,"legal",2
"122",122,2014,2014-01-24,"Parker Point","No-take","Parker Point.No-take",2,2,"legal",0
"123",123,2014,2014-01-24,"Parker Point","No-take","Parker Point.No-take",1,3,"legal",0
"124",124,2014,2014-01-24,"Parker Point","No-take","Parker Point.No-take",3,3,"legal",0
"125",125,2014,2014-01-24,"Parker Point","No-take","Parker Point.No-take",3,3,"legal",0
"126",126,2014,2014-01-24,"Parker Point","No-take","Parker Point.No-take",1,3,"legal",0
"127",127,2014,2014-01-24,"Parker Point","No-take","Parker Point.No-take",3,3,"legal",1
"128",128,2014,2014-01-24,"Parker Point","No-take","Parker Point.No-take",1,1,"legal",0
"129",129,2014,2014-01-24,"Parker Point","No-take","Parker Point.No-take",2,2,"legal",2
