year,date,sanctuary,status,site,replicate,sampling.location,complexity,algal.cover,unsized,legal.unsized,sublegal.unsized,x25,x30,x35,x40,x45,x50,x55,x60,x65,x70,x75,x80,x85,x90,x95,x100,x105,x110,x115,x120,x125,x130,x135,x140,x145,x150
2014,2014-01-26T16:00:00Z,Armstrong Bay,Fished,Ricey Beach,95,none,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,2014-01-26T16:00:00Z,Armstrong Bay,Fished,Ricey Beach,96,none,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,2014-01-26T16:00:00Z,Armstrong Bay,Fished,Ricey Beach,97,none,3,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,2014-01-26T16:00:00Z,Armstrong Bay,Fished,Ricey Beach,98,none,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,2014-01-26T16:00:00Z,Armstrong Bay,Fished,Ricey Beach,99,none,2,1,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,2014-01-26T16:00:00Z,Armstrong Bay,Fished,Ricey Beach,100,none,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,2014-01-26T16:00:00Z,Armstrong Bay,Fished,Ricey Beach,101,none,4,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,2014-01-26T16:00:00Z,Armstrong Bay,Fished,Ricey Beach,102,none,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,2014-01-26T16:00:00Z,Armstrong Bay,Fished,Ricey Beach,103,none,3,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,2014-01-26T16:00:00Z,Armstrong Bay,Fished,Ricey Beach,104,none,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,2014-01-26T16:00:00Z,Armstrong Bay,Fished,Ricey Beach,105,none,4,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,2014-01-26T16:00:00Z,Armstrong Bay,Fished,Ricey Beach,106,none,2,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
