"row.id","length.mm","","sanctuary","status","site"
279,80,NA,"Green_Island","No-take","Green_Island"
280,40,NA,"Green_Island","No-take","Green_Island"
281,220,NA,"Green_Island","No-take","Green_Island"
282,320,NA,"Green_Island","No-take","Green_Island"
283,150,NA,"Green_Island","No-take","Green_Island"
284,130,NA,"Green_Island","No-take","Green_Island"
286,150,NA,"Green_Island","No-take","Green_Island"
287,280,NA,"Green_Island","No-take","Green_Island"
288,110,NA,"Green_Island","No-take","Green_Island"
289,110,NA,"Green_Island","No-take","Green_Island"
290,110,NA,"Green_Island","No-take","Green_Island"
291,120,NA,"Green_Island","No-take","Green_Island"
292,120,NA,"Green_Island","No-take","Green_Island"
293,120,NA,"Green_Island","No-take","Green_Island"
294,110,NA,"Green_Island","No-take","Green_Island"
295,110,NA,"Green_Island","No-take","Green_Island"
296,110,NA,"Green_Island","No-take","Green_Island"
297,110,NA,"Green_Island","No-take","Green_Island"
298,150,NA,"Green_Island","No-take","Green_Island"
299,130,NA,"Green_Island","No-take","Green_Island"
300,130,NA,"Green_Island","No-take","Green_Island"
301,180,NA,"Green_Island","No-take","Green_Island"
302,320,NA,"Green_Island","No-take","Green_Island"
303,150,NA,"Green_Island","No-take","Green_Island"
304,140,NA,"Green_Island","No-take","Green_Island"
305,220,NA,"Green_Island","No-take","Green_Island"
306,180,NA,"Green_Island","No-take","Green_Island"
307,100,NA,"Armstrong","Fished","Ricey_Beach"
308,150,NA,"Armstrong","Fished","Ricey_Beach"
309,150,NA,"Armstrong","Fished","Ricey_Beach"
310,150,NA,"Armstrong","Fished","Ricey_Beach"
311,150,NA,"Armstrong","Fished","Ricey_Beach"
312,100,NA,"Armstrong","Fished","Ricey_Beach"
313,250,NA,"Armstrong","Fished","Ricey_Beach"
314,150,NA,"Armstrong","Fished","Ricey_Beach"
315,150,NA,"Armstrong","Fished","Ricey_Beach"
316,150,NA,"Armstrong","Fished","Ricey_Beach"
317,150,NA,"Armstrong","Fished","Ricey_Beach"
318,150,NA,"Armstrong","Fished","Ricey_Beach"
