"transect.id","M","F","J","school.count","","sanctuary","status","group.id"
"Fished.Armstrong.Geordie_Bay.ST.4",0,0,0,0,NA,"Armstrong","Fished","Fished.Armstrong.Geordie_Bay.ST"
"Fished.Armstrong.Longreach_Bay.AAE.1",0,3,0,3,NA,"Armstrong","Fished","Fished.Armstrong.Longreach_Bay.AAE"
"Fished.Armstrong.Longreach_Bay.AAE.2",0,0,0,0,NA,"Armstrong","Fished","Fished.Armstrong.Longreach_Bay.AAE"
"Fished.Armstrong.Longreach_Bay.AAE.3",0,3,0,1,NA,"Armstrong","Fished","Fished.Armstrong.Longreach_Bay.AAE"
"Fished.Armstrong.Longreach_Bay.AAE.4",0,7,0,6,NA,"Armstrong","Fished","Fished.Armstrong.Longreach_Bay.AAE"
"Fished.Armstrong.Longreach_Bay.AAE.5",0,0,0,0,NA,"Armstrong","Fished","Fished.Armstrong.Longreach_Bay.AAE"
"Fished.Armstrong.Longreach_Bay.HA.1",0,2,0,1,NA,"Armstrong","Fished","Fished.Armstrong.Longreach_Bay.HA"
"Fished.Armstrong.Longreach_Bay.HA.2",0,0,0,0,NA,"Armstrong","Fished","Fished.Armstrong.Longreach_Bay.HA"
"Fished.Armstrong.Longreach_Bay.HA.3",1,3,0,1,NA,"Armstrong","Fished","Fished.Armstrong.Longreach_Bay.HA"
"Fished.Armstrong.Longreach_Bay.HA.4",0,0,0,0,NA,"Armstrong","Fished","Fished.Armstrong.Longreach_Bay.HA"
"Fished.Armstrong.Longreach_Bay.HA.5",0,7,0,1,NA,"Armstrong","Fished","Fished.Armstrong.Longreach_Bay.HA"
"Fished.Armstrong.Longreach_Bay.JH.1",0,1,0,1,NA,"Armstrong","Fished","Fished.Armstrong.Longreach_Bay.JH"
"Fished.Armstrong.Longreach_Bay.JH.2",0,2,0,1,NA,"Armstrong","Fished","Fished.Armstrong.Longreach_Bay.JH"
"Fished.Armstrong.Longreach_Bay.JH.3",0,3,0,1,NA,"Armstrong","Fished","Fished.Armstrong.Longreach_Bay.JH"
"Fished.Armstrong.Longreach_Bay.JH.4",0,0,0,0,NA,"Armstrong","Fished","Fished.Armstrong.Longreach_Bay.JH"
"Fished.Armstrong.Longreach_Bay.JH.5",0,0,0,0,NA,"Armstrong","Fished","Fished.Armstrong.Longreach_Bay.JH"
"Fished.Armstrong.Parakeet_Bay.AAE.1",0,0,0,0,NA,"Armstrong","Fished","Fished.Armstrong.Parakeet_Bay.AAE"
"Fished.Armstrong.Parakeet_Bay.AAE.2",0,22,0,3,NA,"Armstrong","Fished","Fished.Armstrong.Parakeet_Bay.AAE"
"Fished.Armstrong.Parakeet_Bay.AAE.3",0,0,0,0,NA,"Armstrong","Fished","Fished.Armstrong.Parakeet_Bay.AAE"
"Fished.Armstrong.Parakeet_Bay.AAE.4",0,7,0,1,NA,"Armstrong","Fished","Fished.Armstrong.Parakeet_Bay.AAE"
"Fished.Armstrong.Parakeet_Bay.AAE.5",0,2,0,2,NA,"Armstrong","Fished","Fished.Armstrong.Parakeet_Bay.AAE"
"Fished.Armstrong.Parakeet_Bay.HA.1",0,3,0,3,NA,"Armstrong","Fished","Fished.Armstrong.Parakeet_Bay.HA"
"Fished.Armstrong.Parakeet_Bay.HA.2",0,1,0,1,NA,"Armstrong","Fished","Fished.Armstrong.Parakeet_Bay.HA"
