sanctuary,status,group.id,transect.id,metric,count,sample.no
Armstrong,No-take,No-take.Armstrong.Little_Armstrong_Bay_East.THJ,No-take.Armstrong.Little_Armstrong_Bay_East.THJ.3,F,8,87
Armstrong,No-take,No-take.Armstrong.Little_Armstrong_Bay_East.THJ,No-take.Armstrong.Little_Armstrong_Bay_East.THJ.4,F,4,88
Armstrong,No-take,No-take.Armstrong.Little_Armstrong_Bay_East.THJ,No-take.Armstrong.Little_Armstrong_Bay_East.THJ.5,F,10,89
Armstrong,No-take,No-take.Armstrong.Little_Armstrong_Bay_West.HA1,No-take.Armstrong.Little_Armstrong_Bay_West.HA1.1,F,2,90
Armstrong,No-take,No-take.Armstrong.Little_Armstrong_Bay_West.HA1,No-take.Armstrong.Little_Armstrong_Bay_West.HA1.2,F,1,91
Armstrong,No-take,No-take.Armstrong.Little_Armstrong_Bay_West.HA1,No-take.Armstrong.Little_Armstrong_Bay_West.HA1.3,F,5,92
Armstrong,No-take,No-take.Armstrong.Little_Armstrong_Bay_West.HA1,No-take.Armstrong.Little_Armstrong_Bay_West.HA1.4,F,13,93
Armstrong,No-take,No-take.Armstrong.Little_Armstrong_Bay_West.HA1,No-take.Armstrong.Little_Armstrong_Bay_West.HA1.5,F,0,94
Armstrong,No-take,No-take.Armstrong.Little_Armstrong_Bay_West.HA2,No-take.Armstrong.Little_Armstrong_Bay_West.HA2.1,F,4,95
Armstrong,No-take,No-take.Armstrong.Little_Armstrong_Bay_West.HA2,No-take.Armstrong.Little_Armstrong_Bay_West.HA2.2,F,4,96
Armstrong,No-take,No-take.Armstrong.Little_Armstrong_Bay_West.HA2,No-take.Armstrong.Little_Armstrong_Bay_West.HA2.3,F,0,97
Armstrong,No-take,No-take.Armstrong.Little_Armstrong_Bay_West.HA2,No-take.Armstrong.Little_Armstrong_Bay_West.HA2.4,F,2,98
Armstrong,No-take,No-take.Armstrong.Little_Armstrong_Bay_West.HA2,No-take.Armstrong.Little_Armstrong_Bay_West.HA2.5,F,0,99
Armstrong,No-take,No-take.Armstrong.Little_Armstrong_Bay_West.THJ,No-take.Armstrong.Little_Armstrong_Bay_West.THJ.1,F,0,100
Armstrong,No-take,No-take.Armstrong.Little_Armstrong_Bay_West.THJ,No-take.Armstrong.Little_Armstrong_Bay_West.THJ.2,F,0,101
Armstrong,No-take,No-take.Armstrong.Little_Armstrong_Bay_West.THJ,No-take.Armstrong.Little_Armstrong_Bay_West.THJ.3,F,0,102
Armstrong,No-take,No-take.Armstrong.Little_Armstrong_Bay_West.THJ,No-take.Armstrong.Little_Armstrong_Bay_West.THJ.4,F,2,103
Armstrong,No-take,No-take.Armstrong.Little_Armstrong_Bay_West.THJ,No-take.Armstrong.Little_Armstrong_Bay_West.THJ.5,F,5,104
Green_Island,Fished,Fished.Green_Island.East_Strickland.AT,Fished.Green_Island.East_Strickland.AT.1,F,1,105
Green_Island,Fished,Fished.Green_Island.East_Strickland.AT,Fished.Green_Island.East_Strickland.AT.2,F,1,106
Green_Island,Fished,Fished.Green_Island.East_Strickland.AT,Fished.Green_Island.East_Strickland.AT.3,F,1,107
Green_Island,Fished,Fished.Green_Island.East_Strickland.AT,Fished.Green_Island.East_Strickland.AT.4,F,1,108
Green_Island,Fished,Fished.Green_Island.East_Strickland.AT,Fished.Green_Island.East_Strickland.AT.5,F,6,109
Green_Island,Fished,Fished.Green_Island.East_Strickland.EPJ,Fished.Green_Island.East_Strickland.EPJ.1,F,4,110
Green_Island,Fished,Fished.Green_Island.East_Strickland.EPJ,Fished.Green_Island.East_Strickland.EPJ.2,F,2,111
Green_Island,Fished,Fished.Green_Island.East_Strickland.EPJ,Fished.Green_Island.East_Strickland.EPJ.3,F,2,112
Green_Island,Fished,Fished.Green_Island.East_Strickland.EPJ,Fished.Green_Island.East_Strickland.EPJ.4,F,8,113
Green_Island,Fished,Fished.Green_Island.East_Strickland.EPJ,Fished.Green_Island.East_Strickland.EPJ.5,F,2,114
Green_Island,Fished,Fished.Green_Island.East_Strickland.ST,Fished.Green_Island.East_Strickland.ST.1,F,15,115
Green_Island,Fished,Fished.Green_Island.East_Strickland.ST,Fished.Green_Island.East_Strickland.ST.2,F,1,116
Green_Island,Fished,Fished.Green_Island.East_Strickland.ST,Fished.Green_Island.East_Strickland.ST.3,F,4,117
Green_Island,Fished,Fished.Green_Island.East_Strickland.ST,Fished.Green_Island.East_Strickland.ST.4,F,2,118
Green_Island,Fished,Fished.Green_Island.East_Strickland.ST,Fished.Green_Island.East_Strickland.ST.5,F,9,119
Green_Island,Fished,Fished.Green_Island.Strickland_West.BS,Fished.Green_Island.Strickland_West.BS.1,F,0,120
